n porównania przestawienia czas
600 32721 23026 0.794 
600 32176 22823 0.776 
600 31995 23036 0.793 
600 32876 23264 0.564 
600 31862 22973 1.19 
600 31880 22805 0.87 
600 32733 23281 0.822 
600 32275 23108 1.192 
600 32561 23240 0.786 
600 32228 23303 0.789 
600 33128 23602 0.817 
700 39346 27907 0.988 
700 39178 28182 0.682 
700 38812 27960 0.95 
700 39087 28133 0.698 
700 39792 28017 0.773 
700 38412 27281 0.687 
700 39115 28104 0.9 
700 40106 28532 1.035 
700 40469 28953 1.04 
700 39062 28006 0.661 
700 39963 28170 1.041 
700 39760 28654 0.683 
700 40039 28514 1.461 
700 39977 28315 1.479 
700 38416 27662 1.334 
700 38957 28006 0.949 
700 38603 27587 1.407 
700 39760 28228 0.966 
700 40904 28596 0.966 
700 39456 27924 0.952 
700 39826 27962 1.412 
700 39253 27962 1.395 
700 39253 28281 0.949 
700 39187 27807 0.956 
700 39652 28023 0.942 
700 37074 26006 1.338 
700 39718 28122 1.377 
700 38753 27950 0.948 
700 38037 27322 1.023 
700 39320 27776 1.409 
700 40009 28634 1.491 
700 38949 27613 1.411 
700 39895 28386 0.961 
700 39504 28484 1.437 
700 39215 27985 0.946 
700 36961 26412 1.409 
700 40751 29073 0.971 
700 40581 28972 0.98 
700 39204 28280 0.995 
700 39956 28433 0.963 
700 39064 27739 1.453 
700 39413 27882 0.944 
700 37855 26534 0.904 
700 38534 27868 0.94 
700 40204 28350 0.978 
700 39943 28336 0.955 
700 40346 28270 0.996 
700 39434 28377 0.969 
700 38547 27488 0.947 
700 39780 28531 0.969 
700 39925 28302 0.957 
700 39947 28213 0.971 
700 39097 27928 0.952 
700 38556 27339 0.956 
700 38802 27507 0.701 
700 39089 27921 0.985 
700 40182 28387 0.972 
700 40201 28748 0.968 
700 37162 26401 0.903 
700 38571 27847 1.253 
700 39141 28270 1.429 
700 40286 28388 0.974 
700 39066 27688 1.405 
700 39221 28257 0.671 
700 39516 28236 0.953 
700 39216 27818 0.673 
700 40039 28619 0.962 
700 39473 28144 1.335 
700 37565 26635 0.977 
700 38889 27498 0.932 
700 38096 27174 1.408 
700 39270 28001 0.947 
700 39997 28203 1.032 
700 39507 27660 1.024 
700 39506 28645 0.681 
700 39652 28526 0.959 
700 39007 28152 0.974 
700 37595 26409 0.95 
700 38840 27997 1.385 
700 39547 28061 1.206 
700 39552 28148 0.946 
700 39154 27946 1.01 
700 39817 27994 0.951 
700 39698 28237 1.319 
700 39988 28453 0.98 
700 39279 28065 0.957 
700 39121 28232 1.485 
700 38762 27681 0.68 
700 39193 27967 0.953 
700 39018 27841 0.934 
700 39007 27889 0.668 
700 39677 28329 1.433 
700 38539 27772 0.945 
700 39405 27907 0.948 
700 39688 28174 0.951 
700 39019 27687 0.671 
700 40259 28900 0.983 
700 40221 28984 0.962 
700 39108 27859 1.277 
700 39353 28172 0.673 
800 47199 33392 1.124 
800 46059 32841 1.648 
800 45603 32689 1.571 
800 45756 32956 0.869 
800 46328 33191 1.18 
800 46083 32936 0.818 
800 44499 31846 1.142 
800 46510 33002 1.177 
800 44951 31988 1.166 
800 45176 32187 0.777 
800 46184 33205 1.121 
800 46046 33204 1.113 
800 46384 32942 1.171 
800 45796 32485 1.098 
800 46382 33084 1.169 
800 46289 33328 1.111 
800 46490 33533 1.151 
800 45682 32652 1.241 
800 46382 32908 1.117 
800 45585 32876 1.092 
800 44804 31763 1.501 
800 46720 33258 1.11 
800 44799 31966 1.092 
